Country,First_Year,Medalists_first,Last_Year,Medalists_last
Afghanistan,2008.0,1.0,2012.0,1.0
Algeria,1984.0,2.0,2016.0,2.0
Argentina,1956.0,2.0,2016.0,22.0
Armenia,1996.0,2.0,2016.0,4.0
Australia,1956.0,67.0,2016.0,82.0
Austria,1956.0,16.0,2016.0,2.0
Azerbaijan,1996.0,1.0,2016.0,18.0
Bahamas,1956.0,2.0,2016.0,6.0
Bahrain,2012.0,1.0,2016.0,2.0
Barbados,2000.0,1.0,2000.0,1.0
Belarus,1994.0,2.0,2016.0,12.0
Belgium,1956.0,2.0,2016.0,21.0
Bermuda,1976.0,1.0,1976.0,1.0
Botswana,2012.0,1.0,2012.0,1.0
Brazil,1956.0,1.0,2016.0,50.0
Bulgaria,1956.0,18.0,2016.0,7.0
Burundi,1996.0,1.0,2016.0,1.0
Cameroon,1968.0,1.0,2008.0,1.0
Canada,1956.0,39.0,2016.0,69.0
Chile,1956.0,4.0,2008.0,1.0
China,1984.0,74.0,2016.0,113.0
Colombia,1972.0,3.0,2016.0,8.0
Costa Rica,1988.0,1.0,2000.0,2.0
Croatia,1992.0,15.0,2016.0,24.0
Cuba,1964.0,1.0,2016.0,11.0
Cyprus,2012.0,1.0,2012.0,1.0
Czechia,1996.0,13.0,2016.0,15.0
C̫te d'Ivoire,1984.0,1.0,2016.0,2.0
Denmark,1956.0,6.0,2016.0,41.0
Djibouti,1988.0,1.0,1988.0,1.0
Dominican Republic,1984.0,1.0,2016.0,1.0
Ecuador,1996.0,1.0,2008.0,1.0
Egypt,1984.0,1.0,2016.0,3.0
Eritrea,2004.0,1.0,2004.0,1.0
Estonia,1992.0,3.0,2016.0,4.0
Ethiopia,1992.0,3.0,2016.0,8.0
Fiji,2016.0,13.0,2016.0,13.0
Finland,1956.0,38.0,2016.0,1.0
France,1956.0,33.0,2016.0,96.0
Gabon,2012.0,1.0,2012.0,1.0
Georgia,1996.0,2.0,2016.0,7.0
Germany,1992.0,236.0,2016.0,159.0
Ghana,1960.0,1.0,1992.0,20.0
Greece,1956.0,1.0,2016.0,7.0
Grenada,2012.0,1.0,2016.0,1.0
Guatemala,2012.0,1.0,2012.0,1.0
Guyana,1980.0,1.0,1980.0,1.0
Hungary,1956.0,66.0,2016.0,22.0
Iceland,1956.0,1.0,2008.0,14.0
India,1956.0,17.0,2016.0,2.0
Indonesia,2004.0,5.0,2016.0,4.0
Iran,1956.0,5.0,2016.0,8.0
Iraq,1960.0,1.0,1960.0,1.0
Ireland,1956.0,5.0,2016.0,3.0
Israel,1992.0,2.0,2016.0,2.0
Italy,1956.0,55.0,2016.0,72.0
Jamaica,1968.0,1.0,2016.0,30.0
Japan,1956.0,25.0,2016.0,64.0
Jordan,2016.0,1.0,2016.0,1.0
Kazakhstan,1994.0,3.0,2016.0,18.0
Kenya,1964.0,1.0,2016.0,13.0
Kuwait,2000.0,1.0,2012.0,1.0
Kyrgyzstan,2000.0,1.0,2008.0,2.0
Latvia,1992.0,3.0,2014.0,11.0
Lebanon,1972.0,1.0,1980.0,1.0
Liechtenstein,1976.0,2.0,1988.0,1.0
Lithuania,1992.0,13.0,2016.0,7.0
Luxembourg,1992.0,2.0,1992.0,2.0
Malaysia,1992.0,2.0,2016.0,8.0
Mauritius,2008.0,1.0,2008.0,1.0
Mexico,1956.0,2.0,2016.0,5.0
Moldova,1996.0,3.0,2012.0,2.0
Mongolia,1968.0,4.0,2016.0,2.0
Montenegro,2012.0,14.0,2012.0,14.0
Morocco,1960.0,1.0,2016.0,1.0
Mozambique,1996.0,1.0,2000.0,1.0
Namibia,1992.0,2.0,1996.0,2.0
Netherlands,1960.0,5.0,2016.0,47.0
New Zealand,1956.0,3.0,2016.0,36.0
Niger,1972.0,1.0,2016.0,1.0
Nigeria,1964.0,1.0,2016.0,18.0
North Korea,1964.0,1.0,2016.0,7.0
North Macedonia,2000.0,1.0,2000.0,1.0
Norway,1956.0,7.0,2016.0,19.0
Pakistan,1956.0,14.0,1992.0,16.0
Panama,2008.0,1.0,2008.0,1.0
Paraguay,2004.0,17.0,2004.0,17.0
Peru,1984.0,1.0,1992.0,1.0
Philippines,1964.0,1.0,2016.0,1.0
Poland,1956.0,20.0,2016.0,16.0
Portugal,1960.0,2.0,2016.0,1.0
Puerto Rico,1976.0,1.0,2016.0,1.0
Qatar,1992.0,1.0,2016.0,1.0
Romania,1956.0,19.0,2016.0,16.0
Russia,1992.0,279.0,2016.0,115.0
Saudi Arabia,2000.0,2.0,2012.0,4.0
Senegal,1988.0,1.0,1988.0,1.0
Serbia,2008.0,15.0,2016.0,54.0
Singapore,1960.0,1.0,2016.0,1.0
Slovakia,1996.0,3.0,2016.0,8.0
Slovenia,1992.0,6.0,2016.0,4.0
South Africa,1956.0,7.0,2016.0,23.0
South Korea,1956.0,2.0,2016.0,26.0
Spain,1960.0,14.0,2016.0,45.0
Sri Lanka,2000.0,1.0,2000.0,1.0
Suriname,1988.0,1.0,1992.0,1.0
Sweden,1956.0,49.0,2016.0,28.0
Switzerland,1956.0,13.0,2016.0,11.0
Syria,1960.0,2.0,2004.0,1.0
Taiwan,1960.0,1.0,2016.0,5.0
Tajikistan,2008.0,2.0,2016.0,1.0
Tanzania,1980.0,2.0,1980.0,2.0
Thailand,1976.0,1.0,2016.0,6.0
Togo,2008.0,1.0,2008.0,1.0
Tonga,1996.0,1.0,1996.0,1.0
Trinidad and Tobago,1960.0,5.0,2016.0,1.0
Tunisia,1964.0,2.0,2016.0,3.0
Turkey,1956.0,7.0,2016.0,8.0
Uganda,1968.0,2.0,2012.0,1.0
Ukraine,1994.0,2.0,2016.0,15.0
United Arab Emirates,2004.0,1.0,2016.0,1.0
United Kingdom,1956.0,46.0,2016.0,145.0
United States of America,1956.0,149.0,2016.0,264.0
Uruguay,1956.0,12.0,2000.0,1.0
Uzbekistan,1994.0,1.0,2016.0,13.0
Venezuela,1960.0,1.0,2016.0,3.0
Vietnam,2000.0,1.0,2016.0,2.0
"Virgin Islands, US",1988.0,1.0,1988.0,1.0
Zambia,1984.0,1.0,1996.0,1.0
Zimbabwe,1980.0,15.0,2008.0,4.0
